
-60.07184	-62.90529	-1002.8	0	0.00
-59.87934	-62.85347	-589.1	11.33	11.33
-59.79500	-62.82920	-626.3	16.39	5.06
-59.71616	-62.81831	-983.7	20.58	4.18
-59.63366	-62.79904	-1103.3	25.28	4.71
-59.43198	-62.77641	-1434.9	35.84	10.56
-59.27064	-62.73024	-1372.4	45.53	9.69
-59.21381	-62.71428	-1369.5	48.93	3.40
-59.05797	-62.66970	-1242.4	58.29	9.37
-58.98280	-62.64275	-1076.4	63.16	4.87
-58.87279	-62.61999	-1249.1	69.33	6.17
-58.74445	-62.57611	-1415.4	77.51	8.18
-58.65278	-62.53640	-1646.4	83.96	6.45
-58.51528	-62.47122	-1334.9	94.08	10.12
-58.32460	-62.39146	-1488.4	107.30	13.23
